497962.3909,9975173.7788,0.0000
497961.9071,9975180.2788,0.0000;497961.7532,9975175.0090,0.0000
497961.2927,9975180.2936,0.0000;497961.1388,9975175.0238,0.0000
497960.5243,9975175.0386,0.0000;497960.6782,9975180.3084,0.0000
497960.0638,9975180.3232,0.0000;497959.9099,9975175.0534,0.0000
497959.4493,9975180.3380,0.0000;497959.2954,9975175.0682,0.0000
497958.8349,9975180.3528,0.0000;497958.6810,9975175.0830,0.0000
497958.2204,9975180.3676,0.0000;497958.0665,9975175.0978,0.0000
497958.4803,9975182.9643,0.0000;497962.5360,9975182.7092,0.0000
497958.4654,9975182.3694,0.0000;497962.5212,9975182.1143,0.0000
497958.4506,9975181.7746,0.0000;497962.5063,9975181.5195,0.0000
497958.4357,9975181.1798,0.0000;497962.4915,9975180.9247,0.0000
497958.4208,9975180.5850,0.0000;497962.4766,9975180.3299,0.0000
497958.4951,9975183.5591,0.0000;497962.5509,9975183.3040,0.0000
497961.5855,9975186.3605,0.0000;497961.4550,9975183.3729,0.0000
497960.6437,9975186.4144,0.0000;497960.5135,9975183.4322,0.0000
497959.7019,9975186.4684,0.0000;497959.5719,9975183.4914,0.0000
497958.7601,9975186.5223,0.0000;497958.6304,9975183.5506,0.0000
497958.5694,9975186.5332,0.0000;497961.7942,9975186.3485,0.0000
497958.5546,9975185.9384,0.0000;497961.7793,9975185.7537,0.0000
497958.5397,9975185.3436,0.0000;497961.7645,9975185.1588,0.0000
497958.5249,9975184.7488,0.0000;497961.7496,9975184.5640,0.0000
497958.5100,9975184.1539,0.0000;497961.7348,9975183.9692,0.0000
497958.4363,9975189.2128,0.0000;497961.9238,9975188.9656,0.0000
497958.4214,9975188.6180,0.0000;497961.9089,9975188.3707,0.0000
497958.4066,9975188.0231,0.0000;497961.8941,9975187.7759,0.0000
497958.3917,9975187.4283,0.0000;497961.8792,9975187.1811,0.0000
497958.3769,9975186.8335,0.0000;497961.8644,9975186.5863,0.0000
497961.4653,9975191.1892,0.0000;497961.4248,9975189.5968,0.0000
497960.9678,9975191.2217,0.0000;497960.9273,9975189.6321,0.0000
497960.4702,9975191.2542,0.0000;497960.4299,9975189.6674,0.0000
497959.9727,9975191.2867,0.0000;497959.9324,9975189.7026,0.0000
497959.4752,9975191.3192,0.0000;497959.4350,9975189.7379,0.0000
497958.9777,9975191.3517,0.0000;497958.9375,9975189.7731,0.0000
497958.4801,9975191.3842,0.0000;497958.4422,9975189.8930,0.0000
497958.4512,9975189.8076,0.0000;497961.9387,9975189.5604,0.0000
